index,neg,neu,pos,compound
543,0.0,0.918,0.082,0.3818
544,0.076,0.924,0.0,-0.6093
545,0.161,0.755,0.084,-0.6566
546,0.0,0.85,0.15,0.6486
547,0.162,0.734,0.104,-0.128
548,0.191,0.809,0.0,-0.6369
549,0.0,0.894,0.106,0.0772
550,0.0,0.933,0.067,0.128
551,0.0,1.0,0.0,0.0
552,0.287,0.632,0.082,-0.9009
553,0.125,0.805,0.071,-0.2973
554,0.279,0.642,0.078,-0.7672
555,0.058,0.812,0.13,0.5606
556,0.142,0.76,0.099,-0.4767
557,0.066,0.846,0.088,0.1779
558,0.086,0.767,0.147,0.2462
559,0.0,0.941,0.059,0.3919
560,0.0,0.823,0.177,0.5859
561,0.102,0.838,0.059,-0.2134
562,0.158,0.818,0.024,-0.8126
563,0.079,0.786,0.136,0.0516
564,0.05,0.821,0.13,0.4019
565,0.0,0.813,0.187,0.3182
566,0.12,0.88,0.0,-0.6381
567,0.0,1.0,0.0,0.0
568,0.0,0.633,0.367,0.4404
569,0.31,0.585,0.105,-0.8991
570,0.0,1.0,0.0,0.0
571,0.156,0.738,0.107,-0.5267
572,0.247,0.713,0.04,-0.9134
573,0.056,0.944,0.0,-0.3182
574,0.193,0.677,0.131,-0.5236
575,0.458,0.542,0.0,-0.9001
576,0.0,0.963,0.037,0.0772
577,0.207,0.701,0.092,-0.8665
578,0.322,0.617,0.062,-0.946
579,0.253,0.674,0.072,-0.9305
580,0.091,0.795,0.114,0.0498
581,0.058,0.669,0.274,0.9173
582,0.0,0.968,0.032,0.1511
583,0.044,0.956,0.0,-0.2263
584,0.0,0.836,0.164,0.6486
585,0.07,0.93,0.0,-0.4588
586,0.0,1.0,0.0,0.0
587,0.242,0.497,0.261,0.2439
588,0.334,0.594,0.072,-0.9413
589,0.134,0.866,0.0,-0.6249
590,0.198,0.749,0.053,-0.6818
591,0.09,0.845,0.064,-0.2263
592,0.033,0.797,0.17,0.6752
593,0.202,0.691,0.106,-0.6597
594,0.32,0.68,0.0,-0.8575
595,0.078,0.671,0.251,0.8053
596,0.0,0.718,0.282,0.4836
597,0.191,0.809,0.0,-0.8779
598,0.0,0.841,0.159,0.6868
599,0.301,0.699,0.0,-0.9442
600,0.195,0.782,0.023,-0.798
601,0.362,0.638,0.0,-0.8596
602,0.233,0.612,0.155,-0.4404
603,0.108,0.792,0.1,-0.0516
604,0.06,0.94,0.0,-0.2732
605,0.104,0.896,0.0,-0.5255
606,0.778,0.222,0.0,-0.5423
607,0.087,0.697,0.217,0.7096
608,0.0,0.936,0.064,0.3818
609,0.055,0.771,0.174,0.7184
610,0.455,0.545,0.0,-0.875
611,0.092,0.853,0.056,-0.274
612,0.287,0.499,0.214,-0.7269
613,0.0,0.856,0.144,0.7264
614,0.0,0.509,0.491,0.6996
615,0.082,0.918,0.0,-0.5423
616,0.044,0.956,0.0,-0.2023
617,0.179,0.821,0.0,-0.891
618,0.0,0.933,0.067,0.3612
619,0.169,0.773,0.059,-0.6908
620,0.0,1.0,0.0,0.0
621,0.204,0.769,0.026,-0.8316
622,0.181,0.819,0.0,-0.6249
623,0.029,0.756,0.215,0.9071
624,0.174,0.674,0.151,-0.2244
625,0.0,0.863,0.137,0.7057
626,0.14,0.794,0.067,-0.5106
627,0.0,1.0,0.0,0.0
628,0.329,0.671,0.0,-0.9455
629,0.033,0.724,0.244,0.9052
630,0.062,0.64,0.298,0.8625
631,0.096,0.712,0.192,0.6369
632,0.074,0.7,0.226,0.5719
633,0.08,0.92,0.0,-0.5267
634,0.107,0.791,0.103,-0.0258
635,0.0,0.86,0.14,0.5267
636,0.0,1.0,0.0,0.0
637,0.212,0.666,0.122,-0.667
638,0.068,0.708,0.224,0.8714
639,0.233,0.479,0.288,0.2023
640,0.17,0.731,0.099,-0.5994
641,0.153,0.703,0.144,-0.3434
642,0.141,0.666,0.193,0.4169
643,0.0,0.921,0.079,0.4404
644,0.123,0.877,0.0,-0.2732
645,0.045,0.699,0.256,0.9055
646,0.072,0.928,0.0,-0.1027
647,0.037,0.794,0.169,0.7898
648,0.0,0.693,0.307,0.9274
649,0.053,0.947,0.0,-0.0772
650,0.13,0.689,0.181,0.3818
651,0.0,0.822,0.178,0.7227
652,0.0,0.906,0.094,0.3612
653,0.0,0.93,0.07,0.2732
654,0.225,0.775,0.0,-0.8402
655,0.0,0.746,0.254,0.8916
656,0.114,0.667,0.219,0.4003
657,0.0,1.0,0.0,0.0
658,0.231,0.567,0.202,-0.2812
659,0.0,0.794,0.206,0.5267
660,0.0,0.648,0.352,0.8271
661,0.0,0.859,0.141,0.4795
662,0.083,0.917,0.0,-0.5362
663,0.0,0.762,0.238,0.3612
664,0.191,0.697,0.113,-0.5859
665,0.096,0.875,0.028,-0.2757
666,0.0,0.916,0.084,0.3182
667,0.0,1.0,0.0,0.0
668,0.106,0.828,0.066,-0.2273
669,0.051,0.787,0.162,0.7003
670,0.142,0.675,0.183,-0.3813
671,0.109,0.891,0.0,-0.6155
672,0.0,0.775,0.225,0.7506
673,0.325,0.569,0.106,-0.5719
674,0.273,0.706,0.021,-0.8898
675,0.053,0.886,0.061,0.0772
676,0.0,0.778,0.222,0.6908
677,0.0,1.0,0.0,0.0
678,0.086,0.831,0.083,-0.0258
679,0.068,0.833,0.099,0.3382
680,0.265,0.735,0.0,-0.8718
681,0.231,0.769,0.0,-0.8957
682,0.189,0.811,0.0,-0.5423
683,0.067,0.796,0.137,0.3107
684,0.037,0.621,0.342,0.9528
685,0.17,0.761,0.069,-0.4805
686,0.0,1.0,0.0,0.0
687,0.0,0.929,0.071,0.25
688,0.0,0.854,0.146,0.4767
689,0.155,0.756,0.089,-0.228
690,0.467,0.533,0.0,-0.836
691,0.0,1.0,0.0,0.0
692,0.071,0.829,0.1,0.3561
693,0.0,0.877,0.123,0.5204
694,0.0,0.909,0.091,0.4215
695,0.257,0.696,0.046,-0.8745
696,0.196,0.636,0.168,-0.126
697,0.044,0.956,0.0,-0.296
698,0.065,0.815,0.12,0.3987
699,0.07,0.826,0.104,0.264
700,0.089,0.705,0.206,0.775
701,0.035,0.898,0.067,0.1154
702,0.192,0.657,0.151,-0.3283
703,0.077,0.923,0.0,-0.3094
704,0.056,0.79,0.154,0.5562
705,0.052,0.827,0.121,0.5757
706,0.116,0.825,0.059,-0.4939
707,0.0,0.788,0.212,0.8565
708,0.128,0.872,0.0,-0.296
709,0.137,0.863,0.0,-0.5106
710,0.091,0.809,0.1,-0.1363
711,0.252,0.748,0.0,-0.5719
712,0.0,0.813,0.187,0.8176
713,0.334,0.666,0.0,-0.9615
714,0.266,0.707,0.028,-0.9022
715,0.039,0.918,0.043,0.0387
716,0.223,0.633,0.144,-0.6948
717,0.304,0.606,0.09,-0.9296
